City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khandyga,62.6667,135.6,241.83,98,100,1.42,RU,1670189475
1,grindavik,63.8424,-22.4338,276.12,100,75,3.09,IS,1670189475
2,solnechnyy,50.7214,136.6319,248.49,89,17,1.58,RU,1670189476
3,bara,10.3744,10.7288,300.21,21,8,6.0,NG,1670189476
4,castro,-24.7911,-50.0119,292.2,96,100,1.94,BR,1670189476
5,mariel,22.9875,-82.7536,299.23,67,16,6.58,CU,1670189477
6,lubango,-14.9172,13.4925,291.22,80,100,0.74,AO,1670189477
7,kodiak,57.79,-152.4072,276.88,81,75,3.6,US,1670189477
8,governador valadares,-18.8511,-41.9494,294.22,97,100,2.56,BR,1670189478
9,launceston,-41.45,147.1667,289.95,77,40,9.26,AU,1670189377
10,ilulissat,69.2167,-51.1,273.16,74,100,1.54,GL,1670189478
11,new norfolk,-42.7826,147.0587,285.33,68,100,1.34,AU,1670189479
12,rikitea,-23.1203,-134.9692,297.08,82,69,6.07,PF,1670189479
13,qaanaaq,77.484,-69.3632,252.25,66,32,3.81,GL,1670189479
14,bethel,41.3712,-73.414,278.57,51,0,1.54,US,1670189261
15,klaksvik,62.2266,-6.589,277.66,76,72,5.99,FO,1670189480
16,ushuaia,-54.8,-68.3,284.94,76,40,9.26,AR,1670189480
17,punta arenas,-53.15,-70.9167,282.21,66,75,12.86,CL,1670189456
18,jamestown,42.097,-79.2353,274.92,44,0,6.17,US,1670189443
19,butaritari,3.0707,172.7902,300.05,80,29,5.49,KI,1670189481
20,souillac,-20.5167,57.5167,298.36,78,40,3.09,MU,1670189482
21,lagoa,39.05,-27.9833,288.47,68,100,4.78,PT,1670189482
22,lethem,3.3803,-59.7968,295.92,94,100,1.7,GY,1670189482
23,saint-philippe,-21.3585,55.7679,295.92,83,78,3.82,RE,1670189483
24,yumen,40.2833,97.2,262.17,85,81,2.65,CN,1670189483
25,mount isa,-20.7333,139.5,297.02,43,40,0.51,AU,1670189431
26,onega,63.9061,38.1404,265.55,88,95,3.77,RU,1670189483
27,chuy,-33.6971,-53.4616,293.97,82,8,3.82,UY,1670189484
28,thompson,55.7435,-97.8558,248.24,70,75,3.6,CA,1670189429
29,port elizabeth,-33.918,25.5701,290.98,99,100,2.57,ZA,1670189484
30,kavieng,-2.5744,150.7967,299.58,83,100,4.86,PG,1670189485
31,batagay,67.6333,134.6333,246.18,98,100,1.72,RU,1670189485
32,faanui,-16.4833,-151.75,299.89,77,13,6.74,PF,1670189485
33,port alfred,-33.5906,26.891,291.58,88,100,5.97,ZA,1670189486
34,kapaa,22.0752,-159.319,300.33,73,75,4.63,US,1670189486
